LUAD	FDR_LUAD	LUSC	FDR_LUSC
RPUSD4	5.04E-14	ATP10B	4.66E-18
SKP2	5.06E-14	IL22RA1	4.67E-18
MTHFD1	5.07E-14	ERC2	4.68E-18
PNMA6A	5.08E-14	PTGES	4.71E-18
RSL1D1	5.14E-14	FAM123B	4.76E-18
PLXNA3	5.17E-14	ZNF212	4.80E-18
SLC22A8	5.18E-14	CAPN1	4.90E-18
SLC12A6	5.24E-14	PRDX4	4.90E-18
PHB	5.25E-14	PLEKHG4	4.92E-18
GBAP1	5.25E-14	AQP11	4.92E-18
SLC35B3	5.25E-14	MTG1	4.92E-18
TSPAN17	5.28E-14	PZP	4.95E-18
HOXC6	5.29E-14	ECHDC1	4.97E-18
WISP3	5.40E-14	RNF43	5.01E-18
HIP1R	5.45E-14	PCNXL2	5.08E-18
SLC39A5	5.48E-14	TSR1	5.17E-18
TBC1D5	5.49E-14	ZZEF1	5.20E-18
PA2G4	5.49E-14	TMEM54	5.23E-18
PRAP1	5.49E-14	ABI3	5.28E-18
CTPS2	5.56E-14	CYCS	5.30E-18
FAM23A	5.56E-14	UTP6	5.31E-18
NOX5	5.60E-14	RPUSD2	5.32E-18
HIST1H3C	5.63E-14	ATP6V1B2	5.45E-18
C16orf13	5.67E-14	SLC6A2	5.47E-18
RPS6KA1	5.70E-14	GANAB	5.59E-18
C6orf168	5.71E-14	TBCE	5.62E-18
PTK2B	5.71E-14	CMKLR1	5.63E-18
TLX1	5.73E-14	PARP3	5.69E-18
OTP	5.74E-14	LGALS3	5.79E-18
C2orf73	5.86E-14	DMRT3	5.92E-18
XPO6	5.87E-14	NR2E1	5.93E-18
TAC4	5.93E-14	SLFN14	5.94E-18
WDR7	5.94E-14	CAMK1	5.95E-18
CDA	5.94E-14	MYO3B	5.99E-18
CELA2A	5.94E-14	TRPM8	6.09E-18
CHRNA9	5.97E-14	PTRH2	6.10E-18
SCHIP1	5.97E-14	VGF	6.18E-18
SDHA	6.06E-14	KLK8	6.28E-18
C9orf172	6.10E-14	HIST1H4E	6.31E-18
EFCAB6	6.12E-14	MRPS35	6.72E-18
GPR81	6.13E-14	SFRS2	6.77E-18
BACE1	6.19E-14	HTR7	6.83E-18
PSMA1	6.28E-14	CLDND1	6.93E-18
LRRC4	6.29E-14	DMP1	7.06E-18
RBL1	6.29E-14	HIST2H2AA3	7.07E-18
PIGW	6.30E-14	SLC30A6	7.10E-18
SELENBP1	6.33E-14	FAM46B	7.21E-18
LRRIQ1	6.44E-14	YPEL2	7.25E-18
CYP2D7P1	6.46E-14	CYP2D7P1	7.26E-18
CHAC2	6.47E-14	ANTXR2	7.35E-18
CC2D2B	6.47E-14	TBC1D5	7.37E-18
PPIL5	6.51E-14	FREM1	7.40E-18
UAP1	6.59E-14	RAD9A	7.48E-18
PCF11	6.60E-14	HORMAD1	7.53E-18
ZNF480	6.68E-14	FRYL	7.54E-18
IVL	6.70E-14	TG	7.59E-18
FAM66C	6.72E-14	SNHG11	7.72E-18
PSME3	6.78E-14	GAMT	7.78E-18
KLK12	6.83E-14	RPLP0	7.86E-18
ZC3HC1	6.85E-14	PRPF40A	7.91E-18
TMEM66	6.87E-14	PTAFR	8.05E-18
GUCY1A3	6.87E-14	SYNGR3	8.07E-18
CST5	6.90E-14	C2orf89	8.32E-18
NTNG1	6.99E-14	MRPL11	8.34E-18
S100A16	7.11E-14	TBC1D9	8.34E-18
UBE2QL1	7.12E-14	MAGEA1	8.37E-18
RASGEF1C	7.20E-14	KLF13	8.48E-18
TMEM99	7.32E-14	VAMP3	8.49E-18
RBBP4	7.37E-14	PRMT5	8.52E-18
AP1M2	7.56E-14	ZNF493	8.69E-18
GOT2	7.60E-14	LRRC8C	8.75E-18
HINT3	7.62E-14	CDR1	8.81E-18
KCNA7	7.63E-14	ZRANB3	8.85E-18
NKX1-2	7.65E-14	MAGEA10	8.86E-18
NASP	7.70E-14	HIST1H2BM	8.89E-18
COQ9	7.79E-14	CDHR4	8.95E-18
MAK	7.86E-14	AKAP6	8.96E-18
HIST1H1C	7.93E-14	PDLIM4	8.98E-18
CASP5	7.93E-14	SLMO1	9.13E-18
SLC6A11	8.00E-14	CDK5	9.15E-18
ALPK2	8.02E-14	ZNF556	9.37E-18
IDE	8.10E-14	HIST2H4A	9.49E-18
C22orf41	8.26E-14	CD3EAP	9.49E-18
DCST1	8.30E-14	CHRNB2	9.50E-18
CDK7	8.34E-14	PARP4	9.57E-18
SETX	8.38E-14	PROC	9.59E-18
USP37	8.45E-14	ACP1	9.68E-18
ANKRD56	8.52E-14	ABCG2	9.85E-18
C5orf49	8.56E-14	MGC57346	9.92E-18
AATF	8.63E-14	SMARCD2	9.93E-18
ATG9B	8.67E-14	DUSP27	9.96E-18
SLC38A3	8.78E-14	EPHB2	1.02E-17
OLFM4	8.96E-14	H2BFM	1.03E-17
PPAPDC3	8.96E-14	NCF1	1.04E-17
ZNF681	9.03E-14	KLK9	1.08E-17
TPMT	9.11E-14	EIF3J	1.09E-17
WDR34	9.12E-14	AMHR2	1.09E-17
PNO1	9.17E-14	SRXN1	1.10E-17
KRT10	9.19E-14	TMEM150A	1.11E-17
IQUB	9.24E-14	LOC100130932	1.12E-17
IGSF1	9.39E-14	FAM69C	1.12E-17
ACY1	9.42E-14	LILRB2	1.13E-17
MAGEA3	9.56E-14	FOLR3	1.14E-17
COBL	9.59E-14	CILP2	1.14E-17
SFTA1P	9.66E-14	PTPRN	1.16E-17
LOC441204	9.67E-14	SEMA5A	1.16E-17
C16orf70	9.68E-14	C1orf77	1.17E-17
KCNK1	9.69E-14	CCDC11	1.18E-17
TIMM10	9.74E-14	CALU	1.19E-17
C3orf67	9.80E-14	CRCT1	1.19E-17
PFN2	9.82E-14	SLC39A11	1.20E-17
PNPLA5	1.00E-13	PLEKHA8	1.21E-17
SEC14L4	1.01E-13	KIAA0748	1.21E-17
LRRC67	1.02E-13	HVCN1	1.26E-17
ABCC11	1.03E-13	CHRNA10	1.27E-17
CCDC52	1.03E-13	PCCB	1.27E-17
KLF15	1.04E-13	UBL4A	1.28E-17
ABCE1	1.04E-13	TRMT1	1.36E-17
HIPK3	1.04E-13	ARHGEF12	1.36E-17
DCAF4	1.05E-13	MYCL1	1.36E-17
SOD3	1.06E-13	PCDHA3	1.40E-17
HIST1H2AL	1.06E-13	GP5	1.43E-17
NFE2L2	1.07E-13	COL4A6	1.44E-17
21	1.08E-13	FZD9	1.44E-17
CALML3	1.08E-13	SLU7	1.46E-17
OR6N1	1.08E-13	FRMPD2	1.50E-17
OR2W3	1.09E-13	BNC1	1.51E-17
TRIM16L	1.09E-13	LRRC69	1.52E-17
SMS	1.09E-13	DKK2	1.56E-17
RPL7L1	1.10E-13	C10orf35	1.57E-17
BTBD16	1.12E-13	FBXL6	1.57E-17
THUMPD3	1.12E-13	TMEM190	1.57E-17
C6orf136	1.12E-13	TRIM9	1.58E-17
ST8SIA2	1.12E-13	LY6G6F	1.58E-17
TANC1	1.13E-13	EDC3	1.59E-17
PELI3	1.13E-13	TADA2B	1.60E-17
MYADML2	1.13E-13	RCE1	1.63E-17
CSMD2	1.14E-13	SCNM1	1.65E-17
MYLK3	1.14E-13	CDC42SE1	1.68E-17
SRGN	1.14E-13	BCAS4	1.68E-17
MSRA	1.15E-13	TLX2	1.69E-17
SLC9A3R1	1.16E-13	LRRC10B	1.70E-17
RHPN2	1.19E-13	QSOX2	1.70E-17
TIGD5	1.20E-13	CLCA3P	1.73E-17
RAD51C	1.21E-13	IGFL4	1.74E-17
HMGB2	1.23E-13	POLR1A	1.74E-17
C2orf16	1.23E-13	TMED5	1.75E-17
SLC26A1	1.23E-13	CERKL	1.75E-17
PM20D2	1.24E-13	MYBBP1A	1.76E-17
FGF14	1.24E-13	SLC9A3	1.78E-17
ANK3	1.24E-13	ACTR3	1.78E-17
LOC254559	1.24E-13	CMTM5	1.79E-17
C21orf67	1.26E-13	ZBTB12	1.79E-17
AJAP1	1.28E-13	MYLK	1.79E-17
LOC541473	1.28E-13	ZFR	1.80E-17
ASCC3	1.30E-13	SEMA6B	1.81E-17
RMST	1.30E-13	LSM2	1.82E-17
LRRN4CL	1.31E-13	TRPV3	1.84E-17
DDX23	1.31E-13	ATP5G3	1.87E-17
DNASE1L2	1.32E-13	FAM114A2	1.89E-17
ANKRD34A	1.32E-13	HABP4	1.92E-17
SGIP1	1.33E-13	HYOU1	1.95E-17
ALG10	1.34E-13	MEF2A	1.95E-17
VARS2	1.35E-13	C15orf52	1.97E-17
PNMA3	1.35E-13	PAK2	1.98E-17
RARA	1.35E-13	FAR2	1.99E-17
CCBE1	1.37E-13	DPT	1.99E-17
ZSWIM1	1.39E-13	GALNTL2	1.99E-17
NAE1	1.40E-13	FAM171A2	2.00E-17
CALB1	1.40E-13	TRPA1	2.01E-17
ISM2	1.40E-13	TTLL11	2.02E-17
EMB	1.42E-13	FKBP3	2.04E-17
LCMT1	1.42E-13	PARD3	2.08E-17
USP14	1.46E-13	C3orf34	2.10E-17
CLDN14	1.46E-13	IFI16	2.12E-17
GFER	1.49E-13	PFDN4	2.16E-17
SLC7A9	1.53E-13	CATSPER2P1	2.19E-17
CGA	1.54E-13	TSNAXIP1	2.22E-17
MUC4	1.54E-13	PPM1F	2.23E-17
TGM5	1.54E-13	TECPR1	2.23E-17
FCHSD2	1.55E-13	TSN	2.24E-17
KCP	1.56E-13	LOC645166	2.25E-17
F2RL1	1.57E-13	C6orf10	2.28E-17
NUP107	1.58E-13	VPS11	2.29E-17
MRPL55	1.59E-13	MEA1	2.29E-17
MLLT11	1.59E-13	SLC35A4	2.31E-17
GAR1	1.62E-13	N4BP1	2.31E-17
SASH3	1.63E-13	PDIA3P	2.36E-17
KANK1	1.64E-13	ACOT11	2.37E-17
DOK6	1.69E-13	ZBTB46	2.37E-17
AKAP14	1.70E-13	CASD1	2.41E-17
BHLHE41	1.72E-13	CEP97	2.42E-17
ZNF593	1.73E-13	ALOX12	2.42E-17
ACP1	1.74E-13	SERPINB2	2.42E-17
TRIM17	1.75E-13	MFSD3	2.49E-17
FKBP14	1.76E-13	GMCL1	2.50E-17
ACAP3	1.76E-13	SLC43A3	2.51E-17
CEACAM8	1.78E-13	CYP27B1	2.57E-17
STRA13	1.78E-13	CCDC15	2.58E-17
PRPF4	1.78E-13	ATXN2L	2.61E-17
ADPRHL1	1.79E-13	C14orf45	2.62E-17
SNRNP200	1.80E-13	NEFL	2.62E-17
SNRPB	1.82E-13	COL9A3	2.63E-17
DLX1	1.82E-13	RPL7L1	2.69E-17
SIRPG	1.84E-13	MRE11A	2.70E-17
CSNK2A1	1.84E-13	PRTFDC1	2.70E-17
TBC1D20	1.87E-13	AKTIP	2.70E-17
ITGAV	1.87E-13	WBSCR16	2.71E-17
NOL7	1.88E-13	PNRC1	2.78E-17
ZSWIM4	1.91E-13	TTC29	2.78E-17
GAS5	1.91E-13	RBM43	2.78E-17
TMEM223	1.92E-13	ANKRD16	2.83E-17
FZD3	1.92E-13	INHA	2.84E-17
KLHDC7B	1.92E-13	C10orf55	2.84E-17
DNAJC5B	1.93E-13	FLJ30679	2.86E-17
C7orf68	1.95E-13	P4HA1	2.86E-17
RRP1B	1.95E-13	TCTEX1D2	2.87E-17
PRSS27	1.96E-13	KIAA0513	2.88E-17
ALOX12P2	1.99E-13	NFATC1	2.95E-17
COL11A2	1.99E-13	TCAM1P	3.00E-17
RSU1	2.00E-13	HEMGN	3.01E-17
UCHL3	2.04E-13	PLA2G2F	3.09E-17
SLC39A10	2.04E-13	MDH1	3.16E-17
PDCL3	2.05E-13	HERC3	3.17E-17
FAM90A1	2.05E-13	C6orf59	3.19E-17
CD276	2.05E-13	RNASE10	3.20E-17
C4orf22	2.05E-13	OR52N4	3.25E-17
PGBD2	2.07E-13	GALNT12	3.26E-17
ZNF3	2.09E-13	CR1	3.29E-17
C14orf33	2.10E-13	EVL	3.30E-17
TRMU	2.17E-13	PCDHGB6	3.34E-17
APIP	2.24E-13	KCNH1	3.34E-17
PIK3R3	2.26E-13	LEF1	3.34E-17
NEK10	2.26E-13	ITGB2	3.36E-17
SULT4A1	2.29E-13	MASP2	3.38E-17
C4orf12	2.33E-13	FASTKD1	3.42E-17
MUC2	2.37E-13	SPHK1	3.42E-17
NOP14	2.39E-13	C13orf1	3.43E-17
TGFB1I1	2.39E-13	PAX3	3.47E-17
SSB	2.41E-13	C5orf51	3.54E-17
CLCA3P	2.41E-13	C2orf49	3.61E-17
E2F6	2.44E-13	CCDC159	3.64E-17
SNX9	2.45E-13	LRFN1	3.73E-17
PFDN4	2.46E-13	C7orf27	3.73E-17
MYH16	2.47E-13	SLC16A9	3.75E-17
TRIM25	2.47E-13	CYP27C1	3.75E-17
ZNF215	2.48E-13	CTU2	3.87E-17
CCM2	2.48E-13	TP73	3.91E-17
ALKBH2	2.48E-13	MPO	3.91E-17
APOBEC4	2.51E-13	DACT3	3.94E-17
KCNJ8	2.51E-13	ZNF138	3.96E-17
NUP205	2.52E-13	ZDHHC18	3.99E-17
EML5	2.53E-13	ULBP3	4.00E-17
PAQR6	2.56E-13	CDH1	4.01E-17
CMKLR1	2.57E-13	C17orf58	4.07E-17
EFCAB10	2.57E-13	RPA1	4.15E-17
SEMA3D	2.58E-13	HMHA1	4.15E-17
FCGRT	2.61E-13	EHHADH	4.15E-17
SUPV3L1	2.62E-13	RAPH1	4.16E-17
C19orf57	2.65E-13	MAP3K7	4.17E-17
ZNF583	2.68E-13	NRCAM	4.24E-17
CCT4	2.70E-13	MRPS11	4.32E-17
ARSE	2.74E-13	POLR2F	4.32E-17
MASTL	2.75E-13	KIR2DS4	4.35E-17
KIAA1609	2.80E-13	C2orf27A	4.56E-17
WDR43	2.80E-13	PCDHGC3	4.57E-17
CD24	2.81E-13	RTBDN	4.64E-17
C2orf27A	2.82E-13	FAM169A	4.70E-17
FAM128B	2.82E-13	CCDC134	4.74E-17
ENAH	2.88E-13	DHX35	4.77E-17
ROBLD3	2.89E-13	NANP	4.84E-17
ISG15	2.95E-13	ZC4H2	4.85E-17
DLL4	3.03E-13	MAML2	4.85E-17
DIAPH2	3.04E-13	TCHHL1	4.89E-17
KRT6B	3.09E-13	CTDSP1	5.02E-17
S100PBP	3.10E-13	LRRC67	5.04E-17
FAM169B	3.16E-13	ULK1	5.04E-17
NCRNA00176	3.23E-13	TSEN15	5.06E-17
SETD6	3.24E-13	SALL1	5.08E-17
SPATA5L1	3.25E-13	RUNX2	5.08E-17
AMPD2	3.29E-13	LBX2	5.10E-17
RNF125	3.29E-13	GLCCI1	5.12E-17
ZNF219	3.32E-13	UCA1	5.13E-17
SLC44A5	3.32E-13	ACBD6	5.15E-17
TRY6	3.33E-13	RPTN	5.15E-17
SARS2	3.35E-13	KLRG1	5.18E-17
USH1C	3.36E-13	NAP1L4	5.24E-17
PNPO	3.36E-13	UPK3BL	5.36E-17
RELL1	3.36E-13	TIMM10	5.39E-17
ARL6IP1	3.37E-13	BCL2L11	5.49E-17
C17orf71	3.41E-13	GLP2R	5.49E-17
CRTAM	3.45E-13	HIST1H2AL	5.50E-17
FMNL3	3.45E-13	C12orf73	5.50E-17
TGFA	3.48E-13	RPL35A	5.50E-17
C6orf141	3.51E-13	DIRC1	5.50E-17
TDO2	3.53E-13	KHDRBS1	5.52E-17
HOMER3	3.59E-13	CLEC4E	5.52E-17
HIST1H2AK	3.62E-13	GDNF	5.57E-17
ELMO1	3.62E-13	EMG1	5.59E-17
PEF1	3.63E-13	DAK	5.63E-17
SLC30A2	3.64E-13	NUP93	5.69E-17
CARD6	3.64E-13	ZNF706	5.79E-17
PDCD11	3.66E-13	DBN1	5.79E-17
CYTSA	3.67E-13	MAST3	6.00E-17
SAR1A	3.68E-13	CNTNAP5	6.00E-17
PDE4B	3.69E-13	FRMD8	6.04E-17
CCDC127	3.72E-13	MTX1	6.13E-17
MRPL44	3.72E-13	KCND2	6.17E-17
SHARPIN	3.72E-13	LOC646214	6.24E-17
HKDC1	3.74E-13	CDH8	6.26E-17
RIC3	3.75E-13	LHFPL5	6.26E-17
FAM190A	3.76E-13	LCTL	6.28E-17
ELOVL4	3.77E-13	CPT1B	6.44E-17
LOC284798	3.78E-13	SCNN1G	6.47E-17
ZNF581	3.78E-13	C2CD2L	6.47E-17
PGK1	3.79E-13	BBS1	6.49E-17
GAMT	3.81E-13	TBL1X	6.54E-17
PRUNE	3.81E-13	C17orf54	6.58E-17
SLMO1	3.83E-13	RTN4IP1	6.71E-17
MAGEA6	3.86E-13	ELAVL1	6.79E-17
MTG1	3.86E-13	MTHFD1L	6.84E-17
ADAR	3.89E-13	ASCL2	7.01E-17
MTERF	3.94E-13	RNF222	7.04E-17
MRPL38	3.98E-13	PFDN6	7.09E-17
LOC153328	4.00E-13	YIF1B	7.11E-17
SEPX1	4.00E-13	LOC100144603	7.12E-17
TTC27	4.01E-13	TMPRSS11BNL	7.12E-17
HIST1H2BJ	4.10E-13	FAM117B	7.13E-17
PRRG3	4.11E-13	MYL12A	7.17E-17
MIPOL1	4.11E-13	CSAG1	7.17E-17
ARHGAP39	4.14E-13	RGL3	7.25E-17
PTBP1	4.16E-13	VPS13D	7.28E-17
PPIH	4.19E-13	RNF217	7.34E-17
LOC100190940	4.20E-13	PRSS53	7.39E-17
SCLY	4.21E-13	FANCM	7.42E-17
MBOAT7	4.22E-13	PALM3	7.49E-17
BDH2	4.28E-13	SYNPO2L	7.53E-17
USH1G	4.33E-13	ANKRD23	7.55E-17
C1QL1	4.38E-13	NMNAT3	7.57E-17
NEK5	4.43E-13	TNFRSF25	7.69E-17
CDK14	4.48E-13	SKAP2	7.79E-17
FAM83B	4.52E-13	POLR2G	7.83E-17
LCTL	4.55E-13	STK35	7.85E-17
SIGLEC9	4.60E-13	GORASP2	7.87E-17
C9orf116	4.63E-13	CLEC6A	7.90E-17
RHOT2	4.64E-13	NAT8L	7.94E-17
TRABD	4.67E-13	C10orf93	8.02E-17
SLC23A3	4.67E-13	SGCD	8.02E-17
CD4	4.70E-13	SIGMAR1	8.05E-17
ISCA2	4.70E-13	DSG1	8.13E-17
PSMC3IP	4.73E-13	HARBI1	8.35E-17
PLEKHA2	4.75E-13	FNBP1	8.52E-17
MBNL2	4.76E-13	SNX14	8.59E-17
TUBB4	4.78E-13	EMILIN3	9.09E-17
ADIPOR2	4.80E-13	SYT7	9.10E-17
SH3GL2	4.85E-13	ST3GAL2	9.12E-17
TBL1X	4.86E-13	C1orf123	9.32E-17
BRPF3	4.92E-13	PIK3C2B	9.32E-17
FABP7	4.93E-13	PDE7B	9.34E-17
TCOF1	4.94E-13	GALNT7	9.39E-17
SLC16A6	4.99E-13	EGR2	9.51E-17
GPT	5.01E-13	PAQR3	9.55E-17
C20orf11	5.01E-13	BMX	9.55E-17
RP1	5.17E-13	UBE2M	9.79E-17
SLC9A3	5.25E-13	TCERG1	1.00E-16
HERC3	5.27E-13	DDX18	1.00E-16
SPINLW1	5.29E-13	NUP35	1.00E-16
LOC653653	5.33E-13	NHLRC3	1.01E-16
ZNF385B	5.36E-13	HIST1H1E	1.04E-16
ZNF322A	5.36E-13	IPO9	1.05E-16
SDHC	5.36E-13	C17orf68	1.06E-16
MYST4	5.42E-13	IL1RAPL2	1.09E-16
GBA	5.43E-13	ARL4C	1.09E-16
HIST2H2BF	5.45E-13	SLC38A7	1.09E-16
FRG2C	5.47E-13	TGIF2	1.10E-16
RGS18	5.48E-13	LYPD1	1.10E-16
C16orf54	5.50E-13	CDC123	1.11E-16
RASSF5	5.52E-13	POLR3D	1.11E-16
C1orf9	5.55E-13	ITGA6	1.15E-16
ATP1A3	5.60E-13	MGC12982	1.15E-16
PSME4	5.61E-13	NTS	1.16E-16
MRPS21	5.70E-13	MINA	1.17E-16
C20orf103	5.74E-13	DUSP18	1.20E-16
ACSM5	5.75E-13	ERCC3	1.20E-16
GPR125	5.75E-13	GTF2IRD2P1	1.20E-16
CPPED1	5.77E-13	C10orf41	1.23E-16
CCDC45	5.78E-13	KIR2DL3	1.24E-16
SLC27A6	5.83E-13	NSDHL	1.26E-16
ID2	5.85E-13	UNC93A	1.26E-16
SBSN	5.91E-13	DMRT2	1.27E-16
SLC18A3	5.92E-13	ARL4D	1.28E-16
RGR	6.05E-13	SECTM1	1.29E-16
PRKD1	6.08E-13	SLC16A8	1.29E-16
C7orf11	6.17E-13	TTBK1	1.29E-16
ZNF260	6.19E-13	KRT83	1.29E-16
CALML5	6.22E-13	TCEB1	1.30E-16
CALCOCO2	6.23E-13	DUSP13	1.30E-16
HOXA13	6.31E-13	ELN	1.31E-16
CAPRIN1	6.50E-13	PRAP1	1.33E-16
LIN28B	6.50E-13	LOC285629	1.33E-16
XRCC5	6.51E-13	LTK	1.33E-16
MECR	6.51E-13	TPSG1	1.34E-16
MBOAT1	6.51E-13	CCR9	1.38E-16
IFNGR2	6.57E-13	THOC5	1.38E-16
MRPL21	6.58E-13	TRIB3	1.39E-16
ABTB2	6.59E-13	ZNF581	1.39E-16
LRIG3	6.65E-13	CNIH2	1.40E-16
JRKL	6.71E-13	ERI2	1.41E-16
FAM26E	6.74E-13	TJP2	1.41E-16
MAGEH1	6.80E-13	PPP4C	1.44E-16
MIA	6.81E-13	DEPDC4	1.45E-16
ARMC4	6.82E-13	EPHA8	1.45E-16
RET	6.83E-13	PHF13	1.47E-16
TMEM14A	6.99E-13	B2M	1.50E-16
C6orf81	7.04E-13	OR10V1	1.51E-16
C3orf72	7.05E-13	RHOG	1.51E-16
KRT19	7.10E-13	WHSC2	1.51E-16
AGXT2L1	7.15E-13	FXYD6	1.52E-16
RNF115	7.15E-13	TMEM5	1.52E-16
MPP1	7.21E-13	FGFBP1	1.53E-16
C7orf49	7.26E-13	CACNB2	1.54E-16
PPY2	7.28E-13	TTC27	1.56E-16
C6orf15	7.31E-13	P2RY12	1.57E-16
LOC643763	7.35E-13	FMN1	1.57E-16
LOC440905	7.36E-13	AKT1S1	1.60E-16
PRKRIP1	7.38E-13	KRT10	1.62E-16
TMEM159	7.39E-13	ADAM11	1.62E-16
KRT78	7.50E-13	DDOST	1.66E-16
PNPLA2	7.52E-13	COPS7B	1.74E-16
MAGEA12	7.52E-13	SUMO2	1.75E-16
C4orf6	7.61E-13	PCOLCE2	1.77E-16
NR3C2	7.64E-13	GJB7	1.78E-16
PKDCC	7.68E-13	LYPD6	1.79E-16
NTSR1	7.69E-13	C18orf19	1.81E-16
SF3B3	7.76E-13	WDR70	1.84E-16
STRC	7.81E-13	ZNF687	1.84E-16
DMRT1	7.84E-13	SYT1	1.85E-16
FTSJ3	7.95E-13	C8orf39	1.88E-16
CDC34	7.96E-13	MMACHC	1.93E-16
ALOX12B	8.07E-13	CNTD2	1.97E-16
RTDR1	8.12E-13	MMP9	2.00E-16
CLDN11	8.14E-13	LPAR5	2.04E-16
HOXB8	8.15E-13	MTA3	2.04E-16
PRRG1	8.25E-13	C16orf61	2.06E-16
SLC13A5	8.27E-13	UBQLN4	2.08E-16
C14orf184	8.34E-13	CENPJ	2.09E-16
TMEM165	8.38E-13	C6orf153	2.11E-16
C2orf82	8.42E-13	LCN10	2.11E-16
SLAMF9	8.47E-13	PACSIN2	2.11E-16
COL2A1	8.47E-13	GGT1	2.19E-16
LACTB2	8.56E-13	ACAP2	2.22E-16
PLUNC	8.57E-13	PARVA	2.22E-16
C14orf159	8.63E-13	TCEAL1	2.23E-16
YSK4	8.66E-13	INO80B	2.28E-16
MARK2	8.68E-13	SBDS	2.28E-16
SLC6A16	8.72E-13	OR5K2	2.29E-16
TBL1XR1	8.73E-13	OR5M11	2.30E-16
FETUB	8.73E-13	ZNF530	2.32E-16
ABI3	8.82E-13	EPYC	2.32E-16
RASL10A	8.84E-13	PYY2	2.33E-16
DRAM1	8.96E-13	GKN1	2.41E-16
KISS1	8.96E-13	HSPA4	2.44E-16
ABCA17P	8.98E-13	WNT10B	2.49E-16
DCP1A	9.02E-13	DIRC3	2.50E-16
ELOVL6	9.05E-13	NAA20	2.54E-16
PDXP	9.16E-13	FAM25A	2.55E-16
SYNC	9.20E-13	TAF5	2.57E-16
NPM1	9.20E-13	CDADC1	2.57E-16
ADRM1	9.26E-13	UBASH3B	2.60E-16
GPR123	9.27E-13	CRISPLD2	2.61E-16
SLC4A11	9.43E-13	AEBP2	2.65E-16
ZNF468	9.43E-13	SERINC2	2.69E-16
NUP35	9.53E-13	FH	2.70E-16
RPAP2	9.55E-13	RBM47	2.75E-16
SYAP1	9.69E-13	EHD4	2.75E-16
C3orf36	9.70E-13	SRPX	2.78E-16
SNHG12	9.74E-13	B4GALT3	2.78E-16
CHRNA6	9.75E-13	NOC3L	2.78E-16
PI15	9.76E-13	ARF5	2.79E-16
C2orf60	9.76E-13	CDX1	2.81E-16
PGM1	9.77E-13	C12orf45	2.90E-16
SLAIN2	9.79E-13	TMEM63A	2.93E-16
NRIP3	9.83E-13	SRGN	2.94E-16
U2AF2	9.85E-13	LOC645323	2.94E-16
C21orf70	9.88E-13	PDX1	3.00E-16
IL6R	9.90E-13	TRIT1	3.02E-16
VTCN1	9.92E-13	TRIM21	3.02E-16
ZDHHC4	9.96E-13	NUDT5	3.03E-16
MNAT1	1.01E-12	ZNF107	3.05E-16
MDFI	1.01E-12	ERI3	3.05E-16
C17orf47	1.02E-12	C6orf108	3.07E-16
C8orf45	1.02E-12	CARS	3.08E-16
SNRPG	1.02E-12	CYLD	3.09E-16
TREML1	1.04E-12	ENOX2	3.13E-16
HIBADH	1.04E-12	ALKBH4	3.14E-16
FAM57A	1.04E-12	LRP1	3.18E-16
CKS2	1.05E-12	FUCA1	3.21E-16
SRRM5	1.06E-12	C9orf69	3.21E-16
P2RX6	1.06E-12	KLF11	3.21E-16
DLEU2	1.06E-12	TUBB2B	3.23E-16
RNASE10	1.07E-12	CTSZ	3.24E-16
DGUOK	1.07E-12	BPHL	3.25E-16
RNF24	1.07E-12	BAI2	3.26E-16
IWS1	1.08E-12	SLC47A2	3.27E-16
METTL8	1.08E-12	RBM4	3.29E-16
CEP250	1.10E-12	TMBIM4	3.33E-16
MTPAP	1.11E-12	C1orf51	3.34E-16
TDG	1.11E-12	LCE1B	3.36E-16
KLC2	1.11E-12	UGT1A4	3.36E-16
MGC4473	1.12E-12	GABRG2	3.38E-16
COPS6	1.12E-12	RRS1	3.41E-16
HAUS8	1.13E-12	PRKD1	3.42E-16
CXorf40A	1.13E-12	DSG4	3.51E-16
TNFSF12-TNFSF13	1.13E-12	AAMP	3.54E-16
MFSD3	1.13E-12	PRSS27	3.55E-16
SLMO2	1.13E-12	MED14	3.59E-16
ZRANB3	1.15E-12	FITM1	3.61E-16
DDR2	1.15E-12	C2orf24	3.61E-16
LOC100132707	1.15E-12	DMC1	3.61E-16
SFT2D2	1.15E-12	ZNF384	3.61E-16
FBXO5	1.16E-12	IER5L	3.65E-16
LOC349114	1.16E-12	OTOP2	3.65E-16
PQLC1	1.18E-12	PBOV1	3.68E-16
CTPS	1.18E-12	PRKX	3.69E-16
FCRL2	1.18E-12	SC4MOL	3.74E-16
RNF180	1.19E-12	SIRT7	3.79E-16
SLC5A5	1.19E-12	CHCHD8	3.79E-16
MRPL52	1.20E-12	EHMT2	3.84E-16
SLC38A11	1.20E-12	PRDM12	3.89E-16
CEL	1.20E-12	TOP3B	3.89E-16
UBAC2	1.22E-12	TAF1D	3.90E-16
OAT	1.22E-12	MLKL	3.91E-16
STOML2	1.22E-12	GTF2IRD2B	3.95E-16
ZFPM2	1.23E-12	NCRNA00093	3.95E-16
PRIM1	1.23E-12	PCSK1	3.95E-16
TUT1	1.25E-12	FAM138B	3.96E-16
CCDC28B	1.25E-12	HPS4	3.96E-16
CABP7	1.25E-12	MMP25	3.99E-16
